customer_city,total_price
bom repouso,687.87
bom retiro,176.74
bom retiro do sul,1484.21
bom sucesso,1102.48
bombinhas,2381.48
bonfim,480.24
bonfim paulista,2892.9500000000003
bonfinopolis,512.5999999999999
bonfinopolis de minas,1433.7500000000002
boninal,909.8
bonito,3342.66
bonito de minas,115.44
bonito de santa fe,162.85
boqueirao do leao,300.14
boquim,221.82
boquira,95.67
bora,139.71
boraceia,39.96
borborema,975.5500000000001
borda da mata,1062.25
borrazopolis,312.23
bossoroca,213.34
botelho,265.03999999999996
botelhos,1456.47
botucatu,19333.81
botupora,346.51
botuvera,215.17000000000002
braco do norte,3663.1
braco do rio,138.93
braganca,1437.27
braganca paulista,23131.65
bras pires,108.02
brasil novo,396.1
brasilandia,75.07
brasilandia de minas,98.49
brasileia,139.53
brasilia,364115.16
brasilia de minas,922.92
brasopolis,115.89999999999999
brauna,482.35
braunas,105.28
brazabrantes,82.7
brazopolis,1015.5
brejetuba,144.54
brejo,138.24
brejo bonito,153.9
brejo da madre de deus,512.73
brejo do cruz,1217.78
brejo dos santos,125.94
brejo grande,268.84
brejo santo,1949.35
brejoes,286.68
brejolandia,34.78
breu branco,575.7
breves,710.19
britania,105.36999999999999
brodowski,1250.09
brotas,2314.4100000000003
brotas de macaubas,185.62
brumadinho,2795.24
brumado,3474.19
brusque,10491.88
bueno brandao,238.32999999999998
buenopolis,1698.09
buenos aires,311.83000000000004
buerarema,1510.32
bugre,209.3
buique,253.09
buri,1103.39
buritama,1234.42
buriti,229.91
buriti alegre,48.22
buriti do tocantins,86.78999999999999
buriti dos lopes,481.76
buriticupu,919.03
buritirama,286.11
buritis,2411.2
buritizal,102.88
buritizeiro,3315.51
butia,1277.92
caarapo,1447.93
cabaceiras do paraguacu,48.69
cabeceira grande,348.75
cabeceiras,33.13
cabedelo,2119.19
cabixi,234.5
cabo de santo agostinho,3618.25
cabo frio,22584.79
cabo verde,557.68
cabralia paulista,263.31
cabreuva,834.12
cabrobo,1146.9099999999999
cacador,5622.04
cacapava,12866.960000000001
cacapava do sul,1044.83
cacaulandia,108.73
cacequi,801.37
caceres,5668.56
cachoeira,716.36
cachoeira alta,605.48
cachoeira da prata,214.43
cachoeira de minas,616.9200000000001
cachoeira de pajeu,504.03
cachoeira do brumado,211.17000000000002
cachoeira do campo,909.84
cachoeira do sul,7786.04
cachoeira dourada,327.69000000000005
cachoeira paulista,3768.01
cachoeiras de macacu,2426.08
cachoeirinha,11502.630000000001
cachoeiro de itapemirim,20192.49
cacimbinhas,53.3
cacoal,2414.7999999999997
caconde,1829.5700000000002
cacu,1354.3
cacule,615.05
caem,80.02
caetanopolis,805.62
caete,3195.14
caetes,166.04000000000002
caetite,2300.45
cafeara,309.82
cafelandia,3021.48
caiana,285.61
caiaponia,428.97
caibate,410.31999999999994
caibi,180.41000000000003
caicara do norte,1157.41
caico,3215.31
caieiras,16072.54
cairu,78.64
caiua,170.99
cajamar,12226.24
cajapio,149.16
cajari,316.3
cajati,2100.69
cajazeiras,2410.67
cajobi,1162.8899999999999
cajueiro,138.15
cajuri,71.53
cajuru,786.74
calcado,223.54
caldas,621.94
caldas brandao,192.32
caldas do jorro,789.04
caldas novas,6204.57
caldeirao grande,417.25
caldeirao grande do piaui,180.76
california,133.95
california da barra,1014.5
calmon,67.5
camacan,1269.4
camacari,8945.07
camacho,80.9
camamu,1897.5100000000002
camanducaia,2381.76
camapua,734.34
camaqua,2037.2199999999998
camaragibe,5005.62
cambara,1096.06
cambara do sul,400.64
cambe,4559.06
cambiasca,38.089999999999996
cambira,519.35
camboriu,4083.96
cambuci,2279.92
cambui,4059.6600000000003
cambuquira,444.24
cameta,521.85
camocim,2078.27
camocim de sao felix,419.02
campanario,313.29
campanha,822.49
campestre,384.32
campestre da serra,1390.06
campestre do maranhao,340.95
campina da lagoa,593.8199999999999
campina das missoes,211.0
campina do monte alegre,291.99
campina grande,25646.59
campina grande do sul,1382.49
campina verde,868.85
campinacu,195.91
campinapolis,387.09000000000003
campinas,221634.85
campinas do sul,1531.2400000000002
campinorte,1400.61
campo alegre,1228.35
campo alegre de goias,240.27
campo alegre de lourdes,124.88999999999999
campo alegre de minas,137.93
campo alegre do fidalgo,263.94
campo azul,96.22
campo belo,2367.14
campo bom,5664.98
campo bonito,105.30000000000001
campo do brito,114.89
campo do meio,309.08
campo do tenente,71.03999999999999
campo ere,782.22
campo florido,92.02
campo formoso,4054.34
campo grande,66209.43000000001
campo grande do piaui,190.88
campo largo,6269.23
campo limpo paulista,6034.42
campo magro,64.75999999999999
campo maior,1373.8500000000001
campo mourao,8720.38
campo novo,593.01
campo novo do parecis,5915.78
campo verde,1029.69
campos altos,498.61
campos belos,927.53
campos borges,877.04
campos de julio,1110.35
campos do jordao,3997.02
